Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2025-06-05 03:00:00+00:00,21749.75,21754.5,21741.75,21745.75,2527
2025-06-05 04:00:00+00:00,21748.5,21759.25,21745.25,21747.5,2466
2025-06-05 05:00:00+00:00,21734.25,21749.0,21724.75,21748.5,3074
2025-06-05 06:00:00+00:00,21738.75,21744.25,21723.0,21734.0,3290
2025-06-05 07:00:00+00:00,21812.5,21840.0,21739.25,21740.0,11597
2025-06-05 08:00:00+00:00,21790.0,21842.5,21773.5,21813.0,8135
2025-06-05 09:00:00+00:00,21775.75,21791.5,21765.75,21790.5,5288
2025-06-05 10:00:00+00:00,21777.0,21804.75,21753.75,21775.75,5728
2025-06-05 11:00:00+00:00,21769.75,21780.25,21745.75,21776.5,6378
2025-06-05 12:00:00+00:00,21801.5,21898.0,21712.5,21767.25,23883
2025-06-05 13:00:00+00:00,21723.75,21840.5,21691.5,21800.5,69555
2025-06-05 14:00:00+00:00,21858.25,21878.5,21703.25,21724.25,88675
2025-06-05 15:00:00+00:00,21920.0,21935.0,21844.5,21858.25,50002
2025-06-05 16:00:00+00:00,21687.25,21922.75,21670.25,21920.25,73911
2025-06-05 17:00:00+00:00,21729.0,21789.75,21659.75,21686.75,44275
2025-06-05 18:00:00+00:00,21686.75,21740.0,21606.5,21730.0,58996
2025-06-05 19:00:00+00:00,21587.0,21698.0,21503.5,21686.5,90318
2025-06-05 20:00:00+00:00,21515.0,21619.25,21510.75,21587.25,18338
2025-06-05 22:00:00+00:00,21558.0,21560.5,21471.0,21471.0,0
2025-06-05 23:00:00+00:00,21545.5,21571.25,21540.0,21558.5,5322
2025-06-06 00:00:00+00:00,21571.75,21587.25,21544.0,21545.25,5817
2025-06-06 01:00:00+00:00,21585.0,21600.75,21563.5,21571.25,4739
2025-06-06 02:00:00+00:00,21588.25,21591.0,21572.5,21584.5,2824
2025-06-06 03:00:00+00:00,21610.5,21617.75,21579.75,21589.0,3864
2025-06-06 04:00:00+00:00,21649.5,21651.0,21602.25,21606.75,4904
2025-06-06 05:00:00+00:00,21656.75,21669.75,21647.75,21649.0,4346
2025-06-06 06:00:00+00:00,21667.25,21686.0,21629.5,21657.75,6755
2025-06-06 07:00:00+00:00,21660.25,21681.0,21650.75,21667.75,5974
2025-06-06 08:00:00+00:00,21661.0,21672.0,21637.75,21660.75,5539
2025-06-06 09:00:00+00:00,21685.25,21690.5,21651.25,21661.75,4719
2025-06-06 10:00:00+00:00,21656.75,21694.5,21655.5,21686.0,4509
2025-06-06 11:00:00+00:00,21670.75,21684.5,21644.5,21657.25,7793
2025-06-06 12:00:00+00:00,21761.25,21785.5,21662.25,21670.75,23845
2025-06-06 13:00:00+00:00,21818.5,21864.25,21746.75,21761.0,68011
2025-06-06 14:00:00+00:00,21820.0,21845.0,21762.75,21840.5,61586
2025-06-06 15:00:00+00:00,21806.0,21870.0,21743.75,21819.75,60079
2025-06-06 16:00:00+00:00,21755.25,21834.5,21722.0,21806.5,37321
2025-06-06 17:00:00+00:00,21821.5,21826.75,21737.0,21755.25,31827
2025-06-06 18:00:00+00:00,21835.0,21873.5,21821.5,21822.25,42398
2025-06-06 19:00:00+00:00,21789.0,21847.5,21784.75,21834.5,49424
2025-06-06 20:00:00+00:00,21809.5,21819.0,21780.25,21789.5,13507
2025-06-08 22:00:00+00:00,21741.5,21820.75,21730.25,21799.25,5549
2025-06-08 23:00:00+00:00,21762.0,21773.0,21726.0,21742.0,4614
2025-06-09 00:00:00+00:00,21749.0,21783.5,21744.75,21763.5,5158
2025-06-09 01:00:00+00:00,21742.0,21751.75,21731.5,21749.0,3021
2025-06-09 02:00:00+00:00,21741.25,21756.0,21716.0,21742.25,3847
2025-06-09 03:00:00+00:00,21745.25,21747.0,21726.0,21741.0,1942
2025-06-09 04:00:00+00:00,21747.0,21752.5,21731.25,21743.75,2506
2025-06-09 05:00:00+00:00,21746.25,21748.75,21729.0,21746.0,2536
2025-06-09 06:00:00+00:00,21766.25,21768.0,21732.0,21746.75,3436
2025-06-09 07:00:00+00:00,21794.5,21797.25,21750.0,21767.0,5741
